⺀	(⺀,Cd,,部首補充)
𧁾	(艹女瓜,QlKlOuVw,lóu,扩B)
𧁿	(艹犭罒勹虫,QlRoDdHk,dú_shǔ,扩B)
𧂀	(艹豸頁,QlByLd,mò,扩B)
𧂁	(艹吅旦丨戈,QlYoUwGw,zhàn,扩B)
𧂂	(艹釒戈戈,QlLuGwGw,jiàn,扩B)
𧂃	(艹今口頁,QlGdPrLd,hàn,扩B)
𧂄	(艹門臼,QlYzNaBq,dàn,扩B)
𧂅	(艹禾厶厶厶彡,QlTuFiCd,sēn,扩B)
𧂆	(艹僉刀丶,QlOgJzMs,jiàn,扩B)
𧂇	(艹爻彐工口寸,QlIqQjOf,tán_xún,扩B)
𧂈	(艹扌口吅木,QlVlPrYq,jiǎo,扩B)
𧂉	(艹白釆田,QlDhRuTy,pó,扩B)
𧂊	(艹歺又非一,QlNrZnFk,,扩B)
𧂋	(艹冫馬心,QlWjXtVi,píng,扩B)
𧂌	(艹匚火火舛,QlXmXlOo,,扩B)
𧂍	(艹巳巳共辶,QlEwEwDf,sūn_zhuàn,扩B)
𧂎	(艹高歹匕,QlCiNrYs,,扩B)
𧂏	(艹大丷日小辶,QlNfHdDf,liáo,扩B)
𧂐	(艹禾龶貝,QlTuBpMl,zì,扩B)
𧂑	(艹灬廾,QlDoBiQl,,扩B)
𧂒	(艹火隹灬,QlXlWfXl,zhuó,扩B)
𧂓	(日彡彡巾艹弋,WrCdCdWl,,扩B)
𧂔	(艹糸殳,QlGlCpFn,hù,扩B)
𧂕	(艹冖口老,QlCiOdPf,,扩B)
𧂖	(艹王王金,QlKsKsLu,,扩B)
𧂗	(艹仌彐工口寸,QlLcQjOf,,扩B)
𧂘	(艹吅己工爻,QlYoEnIq,,扩B)
𧂙	(艹氵臼勹灬,QlMeBqXl,xì,扩B)
𧂚	(艹缶且皿,QlUqAwYz,,扩B)
𧂛	(艹艹罒冖瓦,QlQlDdIj,méng,扩B)
𧂜	(艹穴女,QlKgKlOu,jù,扩B)
𧂝	(⻀罒冖目戈,QlDdOdGw,miè,扩B)
𧂞	(艹土火火,QlCkAsXl,xián,扩B)
𧂟	(艹臼人貝,QlBqSkMl,,扩B)
𧂠	(艹貝辶,QlHkMlDf,kuì,扩B)
𧂡	(艹門月心,QlYzJsVi,méng,扩B)
𧂢	(艹臣酉,QlDnKhFd,jiān,扩B)
𧂣	(艹禾殳,QlGlTuFn,,扩B)
𧂤	(艹隹耂日丶,QlWfRhMs,,扩B)
𧂥	(䶹屮白巾白巾,MrMrDhSu,,扩B)
𧂦	(艹木而而,QlYqUiUi,nóu,扩B)
𧂧	(艹{温字框}罒方,QlCtDdLj,,扩B)
𧂨	(艹冖巾足,QlJkOdHb,dì,扩B)
𧂩	(艹糹又丶虫,QlCpZnHk,sāo,扩B)
𧂪	(艹戈丬二貝,QlGwHwMl,,扩B)
𧂫	(艹魚包,QlKfOv,,扩B)
𧂬	(艹耒口貝,QlOaPrMl,,扩B)
𧂭	(艹耒辰寸,QlOaPjOf,,扩B)
𧂮	(艹龶爫,QlBpHzJa,,扩B)
𧂯	(艹酉日皿,QlFdWrYz,,扩B)
𧂰	(艹灬貝,QlJaXlMl,,扩B)
𧂱	(艹厂䒑䶹欠十,QlLsRcEo,,扩B)
𧂲	(艹大勹米,QlNfAsZc,,扩B)
𧂳	(艹吅旦丨十,QlYoUwEo,,扩B)
𧂴	(艹⻀隹十,QlQlWfEo,,扩B)
𧂵	(艹釆田十,QlRuTyEo,,扩B)
𧂶	(艹广亻鳥,QlFiIuDw,,扩B)
𧂷	(艹麻示,QlAvTh,,扩B)
𧂸	(艹辟土,QlWuCk,,扩B)
𧂹	(艹阝僉,QlErOg,,扩B)
𧂺	(艹耳血心,QlUaCuVi,,扩B)
𧂻	(艹耒罒戊,QlOaDdQb,,扩B)
𧂼	(艹木夭口冂口,QlYqFoPr,,扩B)
𧂽	(龺艹十,TgQlBkEo,,扩B)
𧂾	(艹厂𣏟米,QlLsGlZc,,扩B)
𧂿	(艹月心心心,QlJsViVi,,扩B)
𧃀	(艹虫隹又,QlHkWfZn,,扩B)
𧃁	(艹門大口⺀,QlYzNfCd,,扩B)
𧃂	(艹廿一由八毛,QlXjFkGo,,扩B)
𧃃	(艹釒白巾,QlLuDhSu,,扩B)
𧃄	(艹各勹隹,QlXcKlWf,,扩B)
𧃅	(艹禾心,QlKfTuVi,,扩B)
𧃆	(艹釒彑氺,QlLuZjBk,,扩B)
𧃇	(艹月羊䒑口,QlJsAsPr,,扩B)
𧃈	(艹勹言,QlVcKlOk,,扩B)
𧃉	(艹氵大丷日火,QlMeNfXl,,扩B)
𧃊	(莫食,QkNn,,扩B)
𧃋	(艹飠,QlNnGoTu,,扩B)
𧃌	(艹水日,QlHbBkWr,,扩B)
𧃍	(艹自止匕八夊,QlCvHlSp,,扩B)
𧃎	(艹䶹辛,QlMrUvVc,,扩B)
𧃏	(艹罒勹虫欠,QlDdKlKc,chù,扩B)
𧃐	(艹冂古,QlHbJkOb,zhí,扩B)
𧃑	(艹釒聿廴,QlLuJaTk,qián,扩B)
𧃒	(艹糹口十口女,QlCpPrOu,lǚ,扩B)
𧃓	(艹大勹言,QlNfAsOk,,扩B)
𧃔	(艹扌羽隹,QlVlQuWf,zhuó,扩B)
𧃕	(艹足,QlElHb,,扩B)
𧃖	(艹从戈非一,QlLcGwFk,,扩B)
𧃗	(艹酉古皿,QlFdObYz,,扩B)
𧃘	(艹缶虍且,QlUqPtAw,zuò,扩B)
𧃙	(艹龺韋,QlTgMb,hán,扩B)
𧃚	(艹月工辶,QlJsEoDf,suǐ,扩B)
𧃛	(艹貝冉,QlMlXjMn,gòu,扩B)
𧃜	(艹罒貝夊,QlNaDdSp,,扩B)
𧃝	(艹酉鬼,QlFdJd,chǒu,扩B)
𧃞	(艹北田共,QlOwTyLi,jì,扩B)
𧃟	(艹羽田共,QlQuTyLi,yì,扩B)
𧃠	(艹其⺃龶,QlKtHuHz,yú,扩B)
𧃡	(艹氵巛⺽木,QlMePvYq,,扩B)
𧃢	(艹虍田共,QlPtTyLi,,扩B)
𧃣	(艹罒二丨二丷弓,QlDdHtNc,kūn,扩B)
𧃤	(艹彐土灬貝,QlQjCkMl,,扩B)
𧃥	(艹六󰈯口衣,QlQtIeHi,,扩B)
𧃦	(艹大吅隹,QlNfYoWf,,扩B)
𧃧	(艹鹿糸,QlDoCp,,扩B)
𧃨	(艹子而,QlLgErUi,nóu,扩B)
𧃩	(艹犭匕矢龴疋,QlRoYsIf,nǐ,扩B)
𧃪	(多艹門口,DsQlYzPr,ruò,扩B)
𧃫	(艹亲龷日,QlDkXjWr,,扩B)
𧃬	(艹木大丷日火,QlYqNfXl,,扩B)
𧃭	(艹冂支囗木,QlThOdYq,,扩B)
𧃮	(艹火米舛,QlXlZcOo,lín,扩B)
𧃯	(艹阝产生子,QlErWdLg,,扩B)
𧃰	(艹自止巳几夊,QlCvHlSp,,扩B)
𧃱	(艹吅工爻,QlYoThIq,níng,扩B)
𧃲	(艹麻米,QlAvZc,,扩B)
𧃳	(艹土八土丸衣,QlCkAyHi,,扩B)
𧃴	(艹糹宀亻百,QlCpDxPi,,扩B)
𧃵	(艹古癶豆,QlObMeXn,,扩B)
𧃶	(艹犭一豕,QlRoBmBy,,扩B)
𧃷	(艹虍隹亏,QlPtWfGi,,扩B)
𧃸	(艹一糸,QlDxFkCp,,扩B)
𧃹	(艹十廿⺃木,QlBkEoYq,zhá,扩B)
𧃺	(艹木矛木十,QlYqHcEo,,扩B)
𧃻	(艹土从囗口十,QlCkLcEo,,扩B)
𧃼	(⻀吅隹口,QlYoWfPr,,扩B)
𧃽	(艹广亻隹心,QlFiIuVi,,扩B)
𧃾	(艹氵田皿木,QlMeTyYq,,扩B)
𧃿	(艹耳囱心,QlUaZhVi,,扩B)
𧄀	(艹辟丷,QlWuHdEo,,扩B)
𧄁	(艹叚,QlErTj,,扩B)
𧄂	(艹镸人長,QlIsSkIs,,扩B)
𧄃	(艹耒龹氺,QlOaKbBk,,扩B)
𧄄	(艹禾隹心,QlTuWfVi,,扩B)
𧄅	(艹豸艮心,QlByIxVi,,扩B)
𧄆	(艹禾乛耳攵,QlTuBmVj,,扩B)
𧄇	(艹行魚,QlEfKf,héng,扩B)
𧄈	(艹厶口大丷日小,QlFiPrIg,,扩B)
𧄉	(艹糹囱心,QlCpZhVi,,扩B)
𧄊	(草廿口夫,NbXjPrXm,,扩B)
𧄋	(艹龴冂支囗木,QlZnOdYq,,扩B)
𧄌	(艹日定,QlWrTkOt,,扩B)
𧄍	(艹土土土兀羽,QlCkCkQu,qiáo,扩B)
𧄎	(艹言丿糸,QlMeOkCp,yáo,扩B)
𧄏	(艹覀彳日夂,QlXgToSp,fù,扩B)
𧄐	(艹隹隹又,QlWfWfZn,shuāng,扩B)
𧄑	(艹糹貝,QlCpHkMl,kuì,扩B)
𧄒	(艹目目隹,QlFmFmWf,qú,扩B)
𧄓	(壴艹𡈼旦,MtQlFuUw,dǒng,扩B)
𧄔	(艹亻言者,QlIuOkVn,shǔ,扩B)
𧄕	(艹糹音{戈无一},QlCpHrGw,,扩B)
𧄖	(艹⺽囟一火,QlBqZhXl,,扩B)
𧄗	(艹禾罒直,QlTuDdYd,,扩B)
𧄘	(艹辛豕殳,QlVcByFn,,扩B)
𧄙	(艹豕阝工,QlByErHz,,扩B)
𧄚	(艹未攵厂里,QlEtVjGh,lí,扩B)
𧄛	(艹革勹言,QlUeKlOk,jú,扩B)
𧄜	(艹心心心糸,QlViViCp,ruǐ,扩B)
𧄝	(艹米隹灬,QlZcWfXl,,扩B)
𧄞	(艹貝鳥,QlMlDw,,扩B)
𧄟	(艹鹿豕,QlDoBy,,扩B)
𧄠	(艹廿⺃木廿⺃木,QlXjHuYq,zhá,扩B)
𧄡	(艹缶隹木,QlUqWfYq,,扩B)
𧄢	(艹氵彐冖耳又人,QlMeQjSk,,扩B)
𧄣	(火火火草,XlXlXlNb,,扩B)
𧄤	(艹吅臣吅,QlYoDnYo,xiāo,扩B)
𧄥	(艹耒京尢丶,QlOaNlMs,,扩B)
𧄦	(艹禾日日夂,QlTuWrSp,,扩B)
𧄧	(艹韋日皿,QlMbWrYz,,扩B)
𧄨	(艹木而,QlYqErUi,,扩B)
𧄩	(艹氵巛果十,QlMePvEo,,扩B)
𧄪	(艹吅𠕁丂日,QlYoTeWr,,扩B)
𧄫	(艹母丿糸十,QlNcShEo,,扩B)
𧄬	(共巾爻爻友,LiSuIqAm,,扩B)
𧄭	(艹釒厶大皿,QlLuFiYz,,扩B)
𧄮	(艹合合合,QlNvNvNv,,扩B)
𧄯	(艹罒冖爿五口,QlDdOdPr,,扩B)
𧄰	(艹爫幺大隹,QlChCpWf,,扩B)
𧄱	(艹門日羽,QlYzWrQu,,扩B)
𧄲	(艹言莫,QlOkQk,,扩B)
𧄳	(草夭口冂口,NbFoPrPr,,扩B)
𧄴	(艹日頁,QlWrTkLd,,扩B)
𧄵	(艹犭巛,QlRoPvUz,,扩B)
𧄶	(艹龻,QlJj,,扩B)
𧄷	(艹臼儿鳥,QlBqDiDw,,扩B)
𧄸	(艹⺽{特殊折}一且,QlBqWaAw,mén_wěi,扩B)
𧄹	(艹言音{戈无一},QlOkHrGw,shí,扩B)
𧄺	(艹直八頁,QlYdAyLd,diān,扩B)
𧄻	(艹氵厂禾禾止,QlMeLsHl,lì,扩B)
𧄼	(⻀罒冖癶豆,QlDdOdXn,dèng_téng,扩B)
𧄽	(艹先先貝,QlAeAeMl,zā_zàn,扩B)
𧄾	(艹罒厶匕匕灬,QlDdFiXl,,扩B)
𧄿	(艹羊,QlYrAs,luó,扩B)
𧅀	(艹車斤金,QlBmTnLu,cán,扩B)
𧅁	(艹弓土一田一田一,QlDzCkFk,,扩B)
𧅂	(艹糹口吅木,QlCpPrYq,,扩B)
𧅃	(艹火鹿灬,QlXlDoXl,āo,扩B)
𧅄	(艹䒑自止巳八夂,QlRcCvSp,,扩B)
𧅅	(艹貝爫灬,QlMlChXl,,扩B)
𧅆	(艹艹糹虫,QlQlSuHk,jiǎn,扩B)
𧅇	(艹从冂丨糸虫,QlLcOdHk,,扩B)
𧅈	(艹禾羽隹,QlTuQuWf,diào,扩B)
𧅉	(艹宀儿身邑,QlDxDiDv,,扩B)
𧅊	(艹火火舛辶,QlXlXlDf,,扩B)
𧅋	(艹亡口⺼艮乛,QlLmPrEo,yíng,扩B)
𧅌	(莫黑,QkGp,,扩B)
𧅍	(艹吅己工工爻,QlYoEnIq,,扩B)
𧅎	(艹士罒貝十,QlNxDdEo,,扩B)
𧅏	(艹禾氺十,QlTuJzEo,,扩B)
𧅐	(艹氵子攵灬,QlMeCiXl,,扩B)
𧅑	(艹矛夂力,QlErHcSo,,扩B)
𧅒	(艹水口水金,QlBkPrLu,,扩B)
𧅓	(艹穴身吕,QlKgFaYo,,扩B)
𧅔	(艹飠去皿,QlNnGkYz,,扩B)
𧅕	(艹月巛,QlJsPvUz,,扩B)
𧅖	(艹目犬鳥,QlFmRoDw,yì,扩B)
𧅗	(艹黑,QlSaGp,dǎng,扩B)
𧅘	(艹而,QlAsErUi,nóu,扩B)
𧅙	(艹立頁,QlJkByLd,,扩B)
𧅚	(艹目目隹又,QlFmFmZn,yuè,扩B)
𧅛	(艹米羽隹,QlZcQuWf,,扩B)
𧅜	(艹木亲見,QlYqDkIu,,扩B)
𧅝	(艹日,QlAkIgWr,,扩B)
𧅞	(艹耳又艹耳又,QlUaZnZn,,扩B)
𧅟	(艹云木艹云木,QlYvYqYq,,扩B)
𧅠	(艹亠丷丨刀丶目目,QlWwHdFm,,扩B)
𧅡	(艹火火士口,QlRhXlPr,,扩B)
𧅢	(艹骨工肉,QlUvEoEu,,扩B)
𧅣	(艹肀一辶,QlJaHwDf,,扩B)
𧅤	(艹宀王缶貝,QlDxKsMl,,扩B)
𧅥	(艹士殳禾日,QlNxZkWr,,扩B)
𧅦	(木艹冂八,YqQlBqAy,,扩B)
𧅧	(艹口吅鳥,QlPrYoDw,,扩B)
𧅨	(艹釆釆大,QlRuDnNf,,扩B)
𧅩	(艹土八土火火手,QlCkAyCj,,扩B)
𧅪	(艹屯日虫虫,QlBtWrHk,,扩B)
𧅫	(艹爻冖見,QlBqIqIu,,扩B)
𧅬	(艹果虫,QlMvVaHk,,扩B)
𧅭	(草一豕,NbBmFkBy,,扩B)
𧅮	(艹彑虫虫,QlZjByHk,lǐ,扩B)
𧅯	(艹㐫禸鳥,QlMzTkDw,lí,扩B)
𧅰	(艹言艹隹又,QlOkQlZn,hù,扩B)
𧅱	(艹亠丷丨刀丶一非一,QlWwHdFk,,扩B)
𧅲	(艹田林林,QlTyGlGl,yòu,扩B)
𧅳	(艹一内一内鹿,QlFkKqDo,,扩B)
𧅴	(艹亠丷丨刀丶二非一,QlWwHdFk,,扩B)
𧅵	(艹止頁卑,QlHlHlRk,,扩B)
𧅶	(艹門丨糹虫,QlYzGpHk,,扩B)
𧅷	(艹白爻冖子,QlDhBqLg,,扩B)
𧅸	(艹囗日口凵丨,QlPgXtGp,,扩B)
𧅹	(艹土勹魚,QlCkAsKf,,扩B)
𧅺	(艹吅,QlGlYoHi,nàng,扩B)
𧅻	(艹革二鳥,QlUeHtDw,hàn,扩B)
𧅼	(艹禾吅,QlTuHiXj,,扩B)
𧅽	(艹囗皿,QlPgXtYz,,扩B)
𧅾	(艹⺽{特殊折}冂果,QlBqWaMv,,扩B)
𧅿	(艹日㓁巾鳥,QlWrIeDw,,扩B)
𧆀	(艹入米羽隹,QlLhZcWf,,扩B)
𧆁	(艹业耳又十,QlEjAsEo,,扩B)
𧆂	(艹言非一,QlOkRhFk,chèn,扩B)
𧆃	(艹亡口⺼冖車乛,QlLmPrEo,,扩B)
𧆄	(束艹白幺幺木,GuQlDhYq,,扩B)
𧆅	(艹龻弓,QlJjDz,,扩B)
𧆆	(艹示亼,QlThAfTe,,扩B)
𧆇	(艹皿罒勹虫,QlBkYzHk,,扩B)
𧆈	(艹辛豕頁,QlVcByLd,yì,扩B)
𧆉	(艹吅隹凡糸,QlYoWfCp,fēng,扩B)
𧆊	(艹㡀攵魚,QlFnVjKf,biē,扩B)
𧆋	(艹廿口夫隹火,QlXjPrXl,,扩B)
𧆌	(艹亠非一,QlWwZtFk,,扩B)
𧆍	(艹亡口⺼口貝,QlLmPrOh,,扩B)
𧆎	(艹龻心,QlJjVi,,扩B)
𧆏	(艹龻目,QlJjFm,mǎn,扩B)
𧆐	(艹立早夂工貝,QlJkQfMl,gàn,扩B)
𧆑	(艹隹隹,QlErWfWf,huò_suǐ,扩B)
𧆒	(艹井井日隹心,QlCyCyVi,,扩B)
𧆓	(艹鹿鹿,QlDoDoDo,cū,扩B)
𧆔	(艹十吅冖吅,QlEoYoHi,,扩B)
𧆕	(艹田禾禾禾禾,QlTyTuTu,yǒu,扩B)
𧆖	(艹廿口十一儿土鳥,QlXjPrDw,,扩B)
𧆗	(艹囗囗皿,QlPgXtYz,,扩B)
𧆘	(艹囗林木林木林木,QlXtGlYq,yòu,扩B)
𧆙	(艹莫非一口糸,QlQkYxCp,,扩B)
𧆚	(艹廿口夫鳥十,QlXjPrEo,,扩B)
𧆛	(虍又,PtZn,,扩B)
𧆜	(虍二⺃,PtHtHu,xū,扩B)
𧆝	(虍,PtHi,,扩B)
𧆞	(虍巾,PtSu,,扩B)
𧆟	(虎九,PtTq,,扩B)
𧆠	(虍手,PtCj,,扩B)
𧆡	(几虎,KxPt,xù,扩B)
𧆢	(虎丩,PtMd,hǔ,扩B)
𧆣	(虍土凵,PtCkMd,lú,扩B)
𧆤	(虍巾又,PtSuZn,,扩B)
𧆥	(虍甲,PtDa,xiá,扩B)
𧆦	(乛虎,NcBmPt,yì,扩B)
𧆧	(虍二儿,PtIuHtDi,,扩B)
𧆨	(虍田,PtTy,,扩B)
𧆩	(虍二人,PtIuHtSk,,扩B)
𧆪	(虍兀丂,PtSeBi,,扩B)
𧆫	(虎乛,PtNcBm,,扩B)
𧆬	(虎九,PtTq,,扩B)
𧆭	(虍由,PtKv,,扩B)
𧆮	(虍巾丩,PtSuMd,hǔ,扩B)
𧆯	(虎才,PtRu,hù,扩B)
𧆰	(虎子,PtLg,zǐ,扩B)
𧆱	(虍大口,PtNfPr,,扩B)
𧆲	(虍口䒑,PtPrRc,,扩B)
𧆳	(虍北一,PtOwFk,,扩B)
𧆴	(虍,PtEoHz,,扩B)
𧆵	(虍夂彡,PtSpCd,,扩B)
𧆶	(虍夊二⺃,PtSpHtHu,,扩B)
𧆷	(虎公,PtWh,gōng,扩B)
𧆸	(虎灬,PtXl,tuī,扩B)
𧆹	(虎心,PtVi,wū,扩B)
𧆺	(今丶虎,GdMsPt,líng,扩B)
𧆻	(虎古,PtOb,gū,扩B)
𧆼	(虎夂,PtSpCd,dōng_zhōng,扩B)
𧆽	(虎白,PtDh,,扩B)
𧆾	(虍共,PtLi,,扩B)
𧆿	(虍甬,PtXd,,扩B)
𧇀	(虍兵,PtCo,,扩B)
𧇁	(虍非,PtYx,,扩B)
𧇂	(虍丿,PtYsYsLb,,扩B)
𧇃	(虍林,PtGl,,扩B)
𧇄	(虍巛田,PtPvTy,lú,扩B)
𧇅	(虎冖日,PtOdWr,,扩B)
𧇆	(虍木攴,PtYqVj,,扩B)
𧇇	(虍巾且,PtSuAw,,扩B)
𧇈	(虍夊且,PtSpAw,zù,扩B)
𧇉	(虍夊古,PtSpOb,,扩B)
𧇊	(虍业二⺃,PtEjHtHu,,扩B)
𧇋	(虍八人日,PtAySkWr,,扩B)
𧇌	(虎冂,PtOdAk,tóng,扩B)
𧇍	(缶虎,UqPt,xiā,扩B)
𧇎	(虎合,PtNv,hé,扩B)
𧇏	(虍一巛士凵,PtFkPvMd,,扩B)
𧇐	(攵虎,HsVjPt,,扩B)
𧇑	(戈廾虎,GwQlPt,,扩B)
𧇒	(虎戈止,PtGwHl,bào,扩B)
𧇓	(虎八兄,PtAySg,yuè,扩B)
𧇔	(虍豆几,PtXnKx,,扩B)
𧇕	(虍一巛田,PtFkPvTy,,扩B)
𧇖	(虍八人目,PtAySkFm,,扩B)
𧇗	(虍父目,PtHzFm,,扩B)
𧇘	(丅虍且,ZrRjPtAw,,扩B)
𧇙	(虎田力,PtTySo,nán,扩B)
𧇚	(虎亻白,PtIuDh,bó,扩B)
𧇛	(虎爫寸,PtChOf,hū,扩B)
𧇜	(臣又虎,DnZnPt,qì,扩B)
𧇝	(上小又虎,UxIgZnPt,shú,扩B)
𧇞	(虎⺃,PtAsHu,qiāng,扩B)
𧇟	(虎土口,PtOdCkPr,zhōu,扩B)
𧇠	(虍亠几,PtOuWwKx,yào,扩B)
𧇡	(虍夂几古,PtSpKxOb,gū,扩B)
𧇢	(兔虎,EgPt,,扩B)
𧇣	(虍且且,PtAwAw,,扩B)
𧇤	(虍夂几白,PtSpKxDh,,扩B)
𧇥	(虎林,PtGl,bān,扩B)
𧇦	(氵去虎,MeGkPt,kǎn,扩B)
𧇧	(爫子虍巾,ChLgPtSu,,扩B)
𧇨	(虎林,PtGl,,扩B)
𧇩	(虍人目,PtRcSkFm,,扩B)
𧇪	(虍二二人日,PtHtHtWr,,扩B)
𧇫	(虎其,PtKt,,扩B)
𧇬	(臣人虎,DnSkPt,,扩B)
𧇭	(虎一弋止,PtFkWlHl,,扩B)
𧇮	(虎禾口,PtTuPr,hé,扩B)
𧇯	(虎禾子,PtTuLg,jì,扩B)
𧇰	(虎丿心,PtJzLbVi,hú,扩B)
𧇱	(虎戊,PtQbAk,yán,扩B)
𧇲	(光虍一,YfPtTnFk,,扩B)
𧇳	(𰃮元虎,JpRlPt,,扩B)
𧇴	(虍囗口示,PtXtPrTh,,扩B)
𧇵	(人二口虍手,SkHtPrCj,,扩B)
𧇶	(虎日,PtUdWr,chūn,扩B)
𧇷	(曷虎,BlPt,dǐng,扩B)
𧇸	(虎禾火,PtTuXl,qiū,扩B)
𧇹	(虎亻矢,PtIuThLv,hóu,扩B)
𧇺	(光虍业,YfPtEj,,扩B)
𧇻	(虎冖日六,PtOdWrQt,,扩B)
𧇼	(口丂虍豆,PrBiPtXn,hào,扩B)
𧇽	(虍田共,PtTyLi,jù,扩B)
𧇾	(虍隹八丂,PtWfAyBi,,扩B)
𧇿	(虍豕且,PtByAw,zù,扩B)
𧈀	(虍罒工从,PtDdIvLc,,扩B)
𧈁	(䒑虍人,RcQjXlSk,xián,扩B)
𧈂	(虍目,PtFmHw,,扩B)
𧈃	(虍八人目亏,PtAySkGi,,扩B)
𧈄	(虎丆目夂,PtZrFmSp,xià,扩B)
𧈅	(少日小虎,VmWrIgPt,xì,扩B)
𧈆	(虎糹夂,PtCpSpCd,,扩B)
𧈇	(虎林彡,PtGlCd,,扩B)
𧈈	(虎巛果,PtPvMv,sè_xì,扩B)
𧈉	(虍革月,PtUeJs,,扩B)
𧈊	(巛果虎,PvMvPt,,扩B)
𧈋	(虎艹兔,PtQlEg,,扩B)
𧈌	(一由厶殳虎,FkKvFiPt,gé,扩B)
𧈍	(吅旦丨虎,YoUwGpPt,xì,扩B)
𧈎	(虍人革彡,PtSkUeCd,,扩B)
𧈏	(大丷日小虎,NfHdWrPt,,扩B)
𧈐	(口飠虎,PrNnPt,,扩B)
𧈑	(虎車凵殳,PtBmMdFn,gé,扩B)
𧈒	(虍巾小兔,PtSuIgEg,,扩B)
𧈓	(虍卜革攵,PtPgUeVj,,扩B)
𧈔	(虍魚日,PtKfWr,lǚ,扩B)
𧈕	(由虍田皿,KvPtTyYz,,扩B)
𧈖	(車凵殳虎,BmMdFnPt,gé,扩B)
𧈗	(車凵殳虎,BmMdFnPt,kè,扩B)
𧈘	(虍灬日,PtNaRhWr,,扩B)
𧈙	(虎士乛工一口寸,PtNxBmOf,shòu,扩B)
𧈚	(虍豆宀丁皿,PtXnDxYz,zhù,扩B)
𧈛	(㐫禸虎,GoMzTkPt,,扩B)
𧈜	(虎月龹馬,PtJsKbXt,téng,扩B)
𧈝	(虫乛,HkBm,yà,扩B)
𧈞	(虫⺃,HkHu,nì,扩B)
𧈟	(匚虫,XmHk,,扩B)
𧈠	(虫,EoHk,,扩B)
𧈡	(又虫,ZnHk,,扩B)
𧈢	(虫八,HkAy,,扩B)
𧈣	(虫乃,HkSn,,扩B)
𧈤	(九虫,TqHk,,扩B)
𧈥	(虫厶,HkFi,,扩B)
𧈦	(乃虫,SnHk,luò,扩B)
𧈧	(厶虫,FiHk,méng_suī,扩B)
𧈨	(小虫,IgHk,,扩B)
𧈩	(弋虫,WlHk,,扩B)
𧈪	(䶹虫,MrHk,chǎn,扩B)
𧈫	(工虫,IvHk,,扩B)
𧈬	(工虫,IvHk,,扩B)
𧈭	(虫兀,HkSe,wù,扩B)
𧈮	(虫丸,HkOh,,扩B)
𧈯	(虫二⺃,HkHtHu,yū,扩B)
𧈰	(虫廴,HkTk,,扩B)
𧈱	(弋虫,WlHk,,扩B)
𧈲	(乛十虫,BmEoHk,,扩B)
𧈳	(虫刀丶,HkJzMs,,扩B)
𧈴	(虫广,HkFi,,扩B)
𧈵	(虫三,HkPs,,扩B)
𧈶	(虫川,HkPv,,扩B)
𧈷	(虫夕,HkQy,,扩B)
𧈸	(夂虫,SpHk,,扩B)
𧈹	(大虫,NfHk,zǎo,扩B)
𧈺	(虫弋,HkWl,,扩B)
𧈻	(虫殳,HkFn,yì,扩B)
𧈼	(虫片,HkHw,jí_xī,扩B)
𧈽	(虫厶,HkEoFi,hóng,扩B)
𧈾	(虫火,HkXl,quán,扩B)
𧈿	(虫冂乂,HkOdQi,wǎng,扩B)
𧉀	(虫止,HkHl,chǐ,扩B)
𧉁	(气虫,DmHk,xì,扩B)
𧉂	(虫天,HkAk,tiǎn,扩B)
𧉃	(虫厶儿,HkFiDi,yǔn,扩B)
𧉄	(虫丅⺃乛,HkZrHuBm,mián,扩B)
𧉅	(虫尹,HkWn,yī,扩B)
𧉆	(虫龰,HkHl,jí,扩B)
𧉇	(八儿虫,AyDiHk,huī,扩B)
𧉈	(虫不,HkKe,fóu_fú,扩B)
𧉉	(龶虫,BpHk,,扩B)
𧉊	(父虫,HzHk,fǔ,扩B)
𧉋	(虫一山,HkFkBn,,扩B)
𧉌	(之虫,NdHk,,扩B)
𧉍	(虫丶,HkIgMs,jí,扩B)
𧉎	(虫,HkHz,xuán,扩B)
𧉏	(虫,MeHk,,扩B)
𧉐	(虫双,HkZg,,扩B)
𧉑	(虫太,HkAl,tài,扩B)
𧉒	(扌⺃虫,VlHuHk,,扩B)
𧉓	(木虫,YqHk,dù,扩B)
𧉔	(虫子⺃,HkLgHu,,扩B)
𧉕	(夭虫,FoHk,,扩B)
𧉖	(虫牛,HkRs,,扩B)
𧉗	(元虫,RlHk,yuán,扩B)
𧉘	(止虫,HlHk,,扩B)
𧉙	(虫屯,HkBt,,扩B)
𧉚	(虫丿,HkJzLb,,扩B)
𧉛	(虫一幺,HkFkCp,dì,扩B)
𧉜	(氏虫,OxHk,,扩B)
𧉝	(虫丅一⺃,HkZrFkHu,,扩B)
𧉞	(虫宀丁,HkDxNa,zhǔ,扩B)
𧉟	(虫厶口,HkFiPr,tāi,扩B)
𧉠	(虫乛,HkBmAk,,扩B)
𧉡	(虫宀几,HkDxKx,rǒng,扩B)
𧉢	(虫穴,HkKg,xué,扩B)
𧉣	(虫玉,HkJg,yù,扩B)
𧉤	(虫厶廾,HkFiQl,fàn,扩B)
𧉥	(北虫,OwHk,běi,扩B)
𧉦	(虫戊,HkQb,,扩B)
𧉧	(虫去,HkGk,jié_qǔ,扩B)
𧉨	(工几虫,IvKxHk,,扩B)
𧉩	(虫巾,HkEoSu,bù,扩B)
𧉪	(力口虫,SoPrHk,jiā,扩B)
